order_id;customer_id;order_date;status;country_id
1;153;23/11/2022;Completed;4
2;164;14/05/2024;Completed;1
3;281;14/10/2023;Pending;3
4;119;30/04/2024;Cancelled;3
5;148;13/06/2024;Cancelled;3
6;164;10/11/2022;Pending;4
7;323;02/05/2024;Cancelled;1
8;186;12/04/2023;Completed;2
9;385;22/07/2024;Completed;3
10;92;05/08/2023;Completed;2
11;309;28/01/2024;Cancelled;4
12;53;18/01/2024;Completed;2
13;156;28/11/2023;Completed;4
14;481;07/11/2022;Cancelled;2
15;252;20/09/2023;Pending;3
16;326;28/07/2024;Cancelled;3
17;327;25/10/2022;Completed;3
18;431;13/11/2022;Cancelled;1
19;29;23/02/2024;Cancelled;3
20;211;24/09/2023;Completed;2
21;488;01/01/2024;Pending;1
22;158;16/09/2023;Cancelled;3
23;283;03/02/2024;Cancelled;2
24;62;08/10/2022;Completed;1
25;6;17/05/2023;Cancelled;1
26;451;28/04/2024;Completed;1
27;374;10/03/2023;Pending;1
28;3;13/03/2024;Pending;2
29;124;25/03/2023;Completed;2
30;158;03/04/2024;Completed;2
31;10;03/03/2023;Cancelled;1
32;369;31/05/2023;Pending;4
33;25;23/09/2022;Completed;1
34;426;25/12/2022;Pending;2
35;479;01/07/2023;Cancelled;3
36;49;09/07/2024;Cancelled;1
37;121;11/04/2023;Cancelled;4
38;498;18/08/2023;Pending;1
39;96;30/09/2023;Cancelled;3
40;284;08/08/2024;Completed;1
41;287;07/03/2024;Completed;4
42;318;06/07/2024;Cancelled;4
43;379;22/03/2023;Cancelled;2
44;396;27/02/2024;Pending;1
45;397;14/03/2024;Completed;4
46;223;17/08/2024;Pending;2
47;467;02/10/2022;Pending;2
48;465;11/03/2023;Pending;4
49;51;10/07/2024;Pending;4
50;144;16/04/2024;Pending;2
51;484;09/04/2024;Completed;2
52;59;20/08/2024;Pending;2
53;449;21/04/2024;Cancelled;2
54;329;12/02/2023;Completed;4
55;60;03/03/2023;Pending;4
56;184;12/03/2023;Cancelled;2
57;324;03/09/2022;Pending;4
58;262;19/06/2024;Pending;3
59;258;19/06/2023;Pending;3
60;186;29/07/2024;Cancelled;1
61;263;18/02/2023;Completed;4
62;43;10/10/2022;Pending;4
63;190;18/08/2023;Cancelled;4
64;434;21/07/2024;Pending;2
65;159;13/08/2024;Pending;1
66;230;29/07/2023;Cancelled;4
67;429;21/11/2022;Completed;2
68;315;03/09/2023;Cancelled;4
69;404;13/05/2023;Completed;3
